順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
83,新潟・障2890芝,  6-  4-  8- 12/ 30,20.0%,33.3%,60.0%,92,85,77.3,3.8着,2.6人気,6.4,463,142,0,0.0%,13.3%,26.7%,192.26,13.31,54.11
84,京都・障2910ダ,  6-  3-  3-  5/ 17,35.3%,52.9%,70.6%,158,98,112.4,4.1着,2.2人気,4.9,448,140,0,0.0%,17.6%,17.6%,202.33,13.91,51.78
85,中京・障3000芝,  6-  3-  0-  7/ 16,37.5%,56.3%,56.3%,137,72,117.8,3.1着,2.8人気,7.0,367,129,0,0.0%,18.8%,0.0%,200.89,13.39,53.76
86,新潟・芝2000外,  5- 10-  1- 28/ 44,11.4%,34.1%,36.4%,69,67,50.0,5.8着,3.7人気,10.3,612,184,0,0.0%,22.7%,2.3%,120.85,12.09,59.58
87,福島・障2750芝,  5-  7-  3- 12/ 27,18.5%,44.4%,55.6%,48,75,53.8,4.4着,2.5人気,5.4,264,135,0,0.0%,25.9%,11.1%,183.29,13.33,54.01
88,小倉・芝2600,  5-  3-  2- 22/ 32,15.6%,25.0%,31.3%,57,51,72.5,6.3着,3.5人気,8.3,368,165,0,0.0%,9.4%,6.3%,162.00,12.46,57.78
89,福島・障2770芝,  5-  0-  1-  6/ 12,41.7%,41.7%,50.0%,137,70,139.0,4.4着,2.5人気,4.6,330,140,0,0.0%,0.0%,8.3%,184.15,13.30,54.15
90,中山・芝2500,  4-  5-  4- 20/ 33,12.1%,27.3%,39.4%,27,66,50.2,6.0着,3.1人気,6.6,225,170,0,0.0%,15.2%,12.1%,153.67,12.29,58.57
91,阪神・障2970ダ,  4-  5-  1- 11/ 21,19.0%,42.9%,47.6%,47,59,52.3,5.0着,1.9人気,3.6,250,124,0,0.0%,23.8%,4.8%,206.09,13.88,51.88
92,東京・障3000ダ,  4-  2-  4-  4/ 14,28.6%,42.9%,71.4%,62,95,92.3,2.9着,2.3人気,4.7,218,133,0,0.0%,14.3%,28.6%,205.69,13.71,52.51
93,小倉・障3390芝,  4-  2-  1-  6/ 13,30.8%,46.2%,53.8%,83,66,82.0,4.0着,2.4人気,6.8,272,124,0,0.0%,15.4%,7.7%,228.19,13.46,53.48
94,中山・ダ2400,  3-  5-  3- 16/ 27,11.1%,29.6%,40.7%,50,93,52.8,6.1着,3.5人気,8.1,450,230,0,0.0%,18.5%,11.1%,157.46,13.12,54.87
95,札幌・芝2600,  3-  4-  6- 14/ 27,11.1%,25.9%,48.1%,49,84,50.6,5.1着,2.7人気,6.0,447,175,0,0.0%,14.8%,22.2%,163.05,12.54,57.41
