順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
63,阪神・芝2400外,  9-  1- 11- 24/ 45,20.0%,22.2%,46.7%,118,79,97.3,4.3着,4.2人気,12.9,594,189,0,0.0%,2.2%,24.4%,147.03,12.25,58.76
64,東京・ダ1300,  8- 10-  8- 42/ 68,11.8%,26.5%,38.2%,67,93,82.8,6.0着,4.8人気,16.3,574,245,0,0.0%,14.7%,11.8%,79.76,12.27,58.68
65,新潟・芝1400,  8-  8- 10- 49/ 75,10.7%,21.3%,34.7%,69,119,78.7,5.9着,4.7人気,14.0,655,345,0,0.0%,10.7%,13.3%,82.58,11.80,61.03
66,新潟・芝1000,  8-  5-  9- 49/ 71,11.3%,18.3%,31.0%,74,80,84.5,7.2着,6.0人気,20.3,658,261,0,0.0%,7.0%,12.7%,56.15,11.23,64.11
67,新潟・芝2000外,  8-  5-  8- 18/ 39,20.5%,33.3%,53.8%,126,104,126.3,4.9着,3.9人気,9.9,616,204,0,0.0%,12.8%,20.5%,120.91,12.09,59.55
68,阪神・芝1200,  8-  5-  5- 38/ 56,14.3%,23.2%,32.1%,52,63,81.5,5.6着,4.0人気,9.6,368,197,0,0.0%,8.9%,8.9%,69.26,11.54,62.38
69,京都・芝1400,  8-  3-  7- 22/ 40,20.0%,27.5%,45.0%,148,99,118.7,5.3着,4.5人気,13.0,744,221,0,0.0%,7.5%,17.5%,82.28,11.75,61.25
70,阪神・ダ2000,  8-  3-  4- 23/ 38,21.1%,28.9%,39.5%,141,78,119.2,4.7着,3.8人気,10.8,670,199,0,0.0%,7.9%,10.5%,127.39,12.74,56.52
71,中山・芝1800,  7- 15- 15- 69/106,6.6%,20.8%,34.9%,25,84,41.4,5.6着,4.6人気,16.5,393,242,0,0.0%,14.2%,14.2%,109.22,12.14,59.33
72,札幌・芝2000,  7-  6-  9- 50/ 72,9.7%,18.1%,30.6%,205,82,73.7,6.5着,5.0人気,19.3,2114,284,0,0.0%,8.3%,12.5%,122.98,12.30,58.55
73,函館・芝2000,  6-  7-  3- 25/ 41,14.6%,31.7%,39.0%,120,83,87.8,5.7着,4.7人気,14.3,827,214,0,0.0%,17.1%,7.3%,121.50,12.15,59.26
74,中山・芝2200,  6-  6-  7- 34/ 53,11.3%,22.6%,35.8%,60,59,67.0,6.0着,4.6人気,19.0,535,185,0,0.0%,11.3%,13.2%,134.24,12.20,59.00
75,新潟・芝1200,  6-  4-  3- 33/ 46,13.0%,21.7%,28.3%,101,65,99.6,6.6着,4.9人気,14.4,780,231,0,0.0%,8.7%,6.5%,70.49,11.75,61.28
76,札幌・ダ1000,  6-  3-  8- 37/ 54,11.1%,16.7%,31.5%,64,62,80.1,5.7着,4.5人気,13.5,577,223,0,0.0%,5.6%,14.8%,60.06,12.01,59.94
77,中山・芝2500,  5-  8-  1- 19/ 33,15.2%,39.4%,42.4%,81,73,77.8,5.3着,4.1人気,13.5,536,174,0,0.0%,24.2%,3.0%,153.60,12.29,58.59
78,福島・芝2600,  5-  6- 11- 17/ 39,12.8%,28.2%,56.4%,134,134,77.7,4.7着,4.2人気,10.9,1050,250,0,0.0%,15.4%,28.2%,162.14,12.47,57.73
79,函館・ダ1000,  5-  5- 10- 40/ 60,8.3%,16.7%,33.3%,33,62,46.2,5.4着,4.4人気,13.8,404,187,0,0.0%,8.3%,16.7%,59.87,11.97,60.13
80,小倉・芝2600,  5-  5-  4- 19/ 33,15.2%,30.3%,42.4%,63,71,71.3,5.3着,3.7人気,8.3,418,169,0,0.0%,15.2%,12.1%,161.69,12.44,57.89
81,小倉・障2860芝,  5-  4-  3- 55/ 67,7.5%,13.4%,17.9%,130,52,92.5,6.5着,6.2人気,32.4,1746,322,0,0.0%,6.0%,4.5%,195.72,13.69,52.61
82,中山・ダ2400,  5-  3-  3- 17/ 28,17.9%,28.6%,39.3%,129,79,109.6,5.7着,4.3人気,17.1,724,203,0,0.0%,10.7%,10.7%,157.19,13.10,54.97
83,新潟・芝2400,  5-  0-  1-  6/ 12,41.7%,41.7%,50.0%,225,106,266.2,4.8着,3.5人気,9.5,540,213,0,0.0%,0.0%,8.3%,148.59,12.38,58.15
84,京都・芝2200外,  4-  8-  2- 34/ 48,8.3%,25.0%,29.2%,43,56,47.4,5.8着,4.4人気,11.6,525,207,0,0.0%,16.7%,4.2%,134.34,12.21,58.95
85,阪神・芝2600外,  4-  0-  0-  3/  7,57.1%,57.1%,57.1%,152,85,194.5,3.6着,2.0人気,5.7,268,150,0,0.0%,0.0%,0.0%,159.10,12.24,58.83
86,札幌・芝2600,  3-  5-  6- 13/ 27,11.1%,29.6%,51.9%,64,141,66.0,5.2着,4.1人気,13.3,583,273,0,0.0%,18.5%,22.2%,163.00,12.54,57.42
87,函館・ダ2400,  3-  3-  1-  4/ 11,27.3%,54.5%,63.6%,263,144,163.8,3.2着,4.1人気,8.6,967,227,0,0.0%,27.3%,9.1%,155.59,12.97,55.53
88,新潟・芝2200,  2-  3-  2- 22/ 29,6.9%,17.2%,24.1%,80,65,52.3,6.6着,5.5人気,16.1,1160,271,0,0.0%,10.3%,6.9%,134.91,12.26,58.70
89,函館・芝2600,  2-  3-  1- 13/ 19,10.5%,26.3%,31.6%,48,81,78.4,5.3着,4.8人気,16.4,460,257,0,0.0%,15.8%,5.3%,162.05,12.47,57.76
90,新潟・障2890芝,  2-  1-  3- 26/ 32,6.3%,9.4%,18.8%,20,37,62.3,7.8着,6.1人気,32.5,330,202,0,0.0%,3.1%,9.4%,194.75,13.48,53.42
91,中京・障3000芝,  2-  1-  1- 12/ 16,12.5%,18.8%,25.0%,80,199,165.2,6.6着,6.8人気,36.1,640,798,0,0.0%,6.3%,6.3%,203.56,13.57,53.05
92,中山・障2880ダ,  2-  0-  1- 35/ 38,5.3%,5.3%,7.9%,11,23,69.0,8.6着,7.7人気,57.8,215,297,0,0.0%,0.0%,2.6%,202.44,14.06,51.22
93,京都・障3170芝,  2-  0-  0-  1/  3,66.7%,66.7%,66.7%,810,186,689.6,2.0着,4.7人気,12.3,1215,280,0,0.0%,0.0%,0.0%,217.40,13.72,52.49
94,京都・障3170ダ,  2-  0-  0- 10/ 12,16.7%,16.7%,16.7%,46,19,107.9,7.2着,5.8人気,24.9,280,115,0,0.0%,0.0%,0.0%,219.69,13.86,51.95
95,阪神・障2970ダ,  1-  1-  2- 18/ 22,4.5%,9.1%,18.2%,48,113,54.8,7.3着,6.9人気,53.6,1070,625,0,0.0%,4.5%,9.1%,207.96,14.00,51.41
96,福島・障2750芝,  1-  1-  2- 22/ 26,3.8%,7.7%,15.4%,51,25,61.4,7.5着,7.2人気,46.1,1330,223,0,0.0%,3.8%,7.7%,186.34,13.55,53.13
97,小倉・障3390芝,  1-  1-  2- 11/ 15,6.7%,13.3%,26.7%,14,44,57.3,6.1着,5.9人気,28.1,220,165,0,0.0%,6.7%,13.3%,230.18,13.58,53.02
98,小倉・ダ2400,  1-  1-  2-  2/  6,16.7%,33.3%,66.7%,38,141,121.3,4.0着,5.7人気,17.9,230,283,0,0.0%,16.7%,33.3%,154.75,12.90,55.83
99,中山・障3200ダ,  1-  1-  1-  3/  6,16.7%,33.3%,50.0%,193,116,121.9,4.3着,5.3人気,16.8,1160,233,0,0.0%,16.7%,16.7%,218.10,13.63,52.82
100,東京・芝2500,  1-  1-  1-  5/  8,12.5%,25.0%,37.5%,43,38,84.4,7.1着,6.1人気,36.2,350,155,0,0.0%,12.5%,12.5%,151.96,12.16,59.23
101,阪神・障3900芝,  1-  1-  0-  1/  3,33.3%,66.7%,66.7%,463,120,124.6,3.7着,3.0人気,10.4,1390,180,0,0.0%,33.3%,0.0%,269.83,13.84,52.03
102,京都・芝3000外,  1-  0-  3-  5/  9,11.1%,11.1%,44.4%,42,71,46.0,5.0着,2.3人気,5.4,380,160,0,0.0%,0.0%,33.3%,186.16,12.41,58.02
103,中山・芝3600,  1-  0-  0-  2/  3,33.3%,33.3%,33.3%,146,53,114.9,3.3着,1.3人気,3.6,440,160,0,0.0%,0.0%,0.0%,226.83,12.60,57.13
104,京都・障3930芝,  1-  0-  0-  2/  3,33.3%,33.3%,33.3%,360,80,126.1,5.0着,3.7人気,7.1,1080,240,0,0.0%,0.0%,0.0%,280.63,14.28,50.41
105,中山・障3210芝,  1-  0-  0-  2/  3,33.3%,33.3%,33.3%,53,36,146.0,6.7着,6.7人気,23.9,160,110,0,0.0%,0.0%,0.0%,220.87,13.76,52.32
